applicant_id,gender,age,income,credit_score,neighborhood,approved
L001,Male,30,75000,720,Downtown,1
L002,Female,32,80000,740,Westside,0
L003,Male,45,120000,800,Eastside,1
L004,Female,48,130000,810,Northside,0
L005,Male,25,45000,650,Downtown,1
L006,Female,27,48000,670,Westside,1
L007,Male,55,150000,820,Eastside,1
L008,Female,58,160000,840,Northside,0
L009,Male,35,90000,750,Downtown,1
L010,Female,38,95000,770,Westside,1
L011,Female,42,105000,710,Urban,1
L012,Male,44,110000,720,Urban,1
L013,Female,46,115000,730,Urban,1
L014,Male,48,120000,740,Urban,1
L015,Female,50,125000,750,Urban,0
L016,Male,52,130000,760,Suburb,1
L017,Female,54,135000,770,Suburb,0
L018,Male,56,140000,780,Suburb,1
L019,Female,58,145000,790,Suburb,0
L020,Male,60,150000,800,Suburb,1
